height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181570,2025-04-29T09:46:15.279965814Z,bbn-1,2AB301F354A74F45AFB347B2C00CDCEB09CC719D,81,100,100,100,58578606,520,1285313087,631380081,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,-1449830349,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181571,2025-04-29T09:46:25.765097581Z,bbn-1,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,72,100,100,100,58578606,520,1285313087,620075014,B44FC7D70708095FBC30AF164410749483F96439,-1449829829,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181572,2025-04-29T09:46:35.991642591Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,89,100,100,100,58578606,520,1285313087,628553859,53406DE83381DD804632447F1BAED00CF28048E0,-1449829309,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181573,2025-04-29T09:46:45.947360102Z,bbn-1,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,71,100,100,100,58578606,520,1285313087,651218115,53406DE83381DD804632447F1BAED00CF28048E0,-1449828789,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181574,2025-04-29T09:46:56.417151834Z,bbn-1,5295664886565F43A3074140551A755872BF6FFD,75,100,100,100,58578606,520,1285313087,673882371,53406DE83381DD804632447F1BAED00CF28048E0,-1449828269,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181575,2025-04-29T09:47:06.756818078Z,bbn-1,53406DE83381DD804632447F1BAED00CF28048E0,77,100,100,100,58578606,520,1285313087,659792374,43804074334AC6111233037EFE20105C516B0E9F,-1449827749,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181576,2025-04-29T09:47:16.76181357Z,bbn-1,43804074334AC6111233037EFE20105C516B0E9F,76,100,100,100,58578606,520,1285313087,662268129,B44FC7D70708095FBC30AF164410749483F96439,-1449827229,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181577,2025-04-29T09:47:26.916689758Z,bbn-1,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,68,100,100,100,58578606,520,1285313087,671869524,521D2A344E322B8BA76401C833A1EC74EA2BD075,-1449826709,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181578,2025-04-29T09:47:37.011984648Z,bbn-1,521D2A344E322B8BA76401C833A1EC74EA2BD075,75,100,100,100,58578606,520,1285313087,679145375,B44FC7D70708095FBC30AF164410749483F96439,-1449826189,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181579,2025-04-29T09:47:47.788319647Z,bbn-1,2A1B3FEE6B29EA1828D427F0E5C3887CB7E64487,71,100,100,100,58578606,520,1285313087,687583998,B44FC7D70708095FBC30AF164410749483F96439,-1449825669,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181580,2025-04-29T09:47:58.024200003Z,bbn-1,B44FC7D70708095FBC30AF164410749483F96439,83,100,100,100,58578606,520,1285313087,654771058,2C4E108C3F09CF9B8B1515D3B26D50E332D86E3B,-1449825149,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181581,2025-04-29T09:48:08.501832275Z,bbn-1,2C4E108C3F09CF9B8B1515D3B26D50E332D86E3B,71,100,100,100,58578606,520,1285313087,640035235,AEA26001DE9B15D4DAD32808712864E61AE52A17,-1449824629,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181582,2025-04-29T09:48:18.458424507Z,bbn-1,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,71,100,100,100,58578606,520,1285313087,659472081,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1449824109,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,9.0
181583,2025-04-29T09:48:28.741721717Z,bbn-1,671D816776E8C7FAE18DC122FB6DC231956C6D48,73,100,100,100,58578606,520,1285313087,676036074,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,-1449823589,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181584,2025-04-29T09:48:38.672627746Z,bbn-1,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,79,100,100,100,58578606,520,1285313087,697151678,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,-1449823069,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181585,2025-04-29T09:48:48.863252986Z,bbn-1,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,68,100,100,100,58578606,520,1285313087,701576376,1B03AB3C744545B281D224127708A9EC7487E58C,-1449822549,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181586,2025-04-29T09:48:58.836556415Z,bbn-1,1B03AB3C744545B281D224127708A9EC7487E58C,73,100,100,100,58578606,520,1285313087,682322195,AEA26001DE9B15D4DAD32808712864E61AE52A17,-1449822029,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181587,2025-04-29T09:49:09.041332291Z,bbn-1,EC033669FE506006F870BD8B12CB524A3ABC3693,79,100,100,100,58578606,520,1285313087,692775567,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,-1449821509,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,9.0
181588,2025-04-29T09:49:19.914515744Z,bbn-1,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,69,100,100,100,58578606,520,1285313087,710115707,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,-1449820989,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181589,2025-04-29T09:49:29.988327192Z,bbn-1,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,71,100,100,100,58578606,520,1285313087,707694371,AEA26001DE9B15D4DAD32808712864E61AE52A17,-1449820469,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181590,2025-04-29T09:49:40.058180172Z,bbn-1,AEA26001DE9B15D4DAD32808712864E61AE52A17,82,100,100,100,58578606,520,1285313087,713837090,DC0802AD3262ECD784CE339D87073C836E31C69E,-1449819949,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
